sentence,book,word_count,afinn,bing,nrc,sentimentR,nrc.anger,nrc.anticipation,nrc.disgust,nrc.fear,nrc.joy,nrc.sadness,nrc.surprise,nrc.trust,nrc.negative,nrc.positive,anger.perc,sadness.perc,joy.perc,anticipation.perc,disgust.perc,trust.perc,surprise.perc,fear.perc
"`but that would be an ill omen, if it were so.",thetwotowers,11,-2,0,-2,-1.59,1,1,1,2,0,1,0,0,2,0,9.09,9.09,0,9.09,9.09,0,0,18.18
"`master, dear master!",thetwotowers,3,2,1,2,1.44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"`yes, yes, master!",thetwotowers,3,1,1,1,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"but all foul, all rotting, all dead.",thetwotowers,7,-3,-2,-2,-1.39,1,0,2,1,0,0,0,0,2,0,14.29,0,0,0,28.57,0,0,14.29
but handsome is as handsome does we say.,thetwotowers,8,0,1,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but i fear that worse awaits him.',thetwotowers,7,-6,-2,-2,-1.49,1,0,0,2,0,1,0,0,2,0,14.29,14.29,0,0,0,0,0,28.57
but i wish i could make a song about her.,thetwotowers,10,1,0,0,-1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but why should i wish to leave?,thetwotowers,7,0,0,-1,-1.91,0,0,0,0,0,1,1,0,1,0,0,14.29,0,0,0,0,14.29,0
helps nice master.,thetwotowers,3,5,2,1,1.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"there is no grief in that; but think-there is someone loose hereabouts as is more dangerous than any other damned rebel that ever walked since the bad old times, since the great siege.",thetwotowers,34,-10,-5,-5,-1.46,2,0,1,3,0,2,0,0,5,0,5.88,5.88,0,0,2.94,0,0,8.82
but haste was all in vain.,treasureisland,6,0,-2,0,-1.47,0,1,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0
and the more horrible the death the more ridiculous they seem.,tropicofcancer,11,-8,-3,-3,-1.4,3,1,3,2,0,1,1,0,3,0,27.27,9.09,0,9.09,27.27,0,9.09,18.18
"i am crying for more and more disasters, for bigger calamities, for grander failures.",tropicofcancer,14,-6,-2,-1,-1.44,0,0,0,0,0,1,0,0,1,0,0,7.14,0,0,0,0,0,0
"it was ordained that the women must suffer, that off-stage there should be more terror and violence, more disasters, more suffering, more woe and misery.",tropicofcancer,26,-14,-5,-5,-1.71,2,0,3,5,0,4,0,1,6,1,7.69,15.38,0,0,11.54,3.85,0,19.23
"there will be more calamities, more death, more despair.",tropicofcancer,9,-5,-3,-2,-1.5,2,1,2,2,0,2,1,0,2,0,22.22,22.22,0,11.11,22.22,0,11.11,22.22
"yes, her fingers are very supple, extraordinarily supple.",tropicofcancer,8,1,2,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but he had been too much for me.,waspfactory,8,0,0,0,-1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i sat cross-legged just by the blaze, staring into it from up-wind until it was out and only the metal of the black destroyer remained, then i took the sooty skeleton and buried it where it had been ruined, at the bottom of the hill.",waspfactory,47,-2,-2,-8,-0.27,4,0,1,4,0,5,0,0,8,0,8.51,10.64,0,0,2.13,0,0,8.51
